Temperature;PM2.5;PM10;SO2;CO;status
26.6;130.7;424.7;26.5;17.6;1
21.8;208.0;453.8;51.1;0.2;1
33.6;92.0;409.2;30.5;4.5;1
32.3;260.1;63.5;89.7;6.3;1
23.3;248.0;574.8;96.8;14.7;1
10.3;106.4;545.5;41.0;38.0;1
18.8;336.4;141.7;7.0;25.5;1
32.2;58.9;482.4;66.3;39.6;1
12.5;30.8;245.6;37.7;37.7;1
13.8;192.5;410.3;98.6;29.4;1
32.6;204.9;99.4;8.9;25.0;1
36.5;159.9;323.1;11.9;46.6;1
21.3;129.0;76.0;69.9;28.5;1
27.1;169.4;321.7;75.9;24.1;1
43.1;81.7;146.2;47.1;43.5;1
43.1;201.7;271.5;27.7;3.6;1
20.8;452.3;400.8;31.0;32.8;1
38.3;112.2;526.2;33.8;5.7;1
30.8;342.2;99.2;22.5;41.0;1
44.1;70.9;536.0;85.1;39.6;1
26.7;177.0;234.0;6.5;25.2;1
37.1;160.6;506.3;40.7;33.1;1
36.9;468.5;307.5;74.8;38.6;1
27.4;214.0;517.3;0.4;24.2;1
37.8;345.2;397.7;87.8;45.3;1
19.1;301.2;305.2;70.6;21.9;1
14.3;70.5;187.5;7.3;44.6;1
24.9;469.8;581.3;89.5;29.1;1
43.0;172.9;480.5;48.7;21.3;1
27.5;22.4;228.7;65.2;0.2;1
32.2;150.2;100.0;88.2;14.8;1
31.8;167.8;467.7;88.1;43.4;1
14.6;46.4;594.0;40.9;21.4;1
23.7;310.0;167.4;23.8;21.1;1
34.7;173.4;549.5;25.7;24.5;1
44.0;314.6;75.2;76.6;14.3;1
15.9;3.4;571.3;92.9;24.6;1
24.4;491.0;447.2;7.2;18.8;1
13.3;85.3;208.0;1.5;45.5;1
18.5;329.7;182.8;82.3;28.2;1
23.2;357.9;386.1;38.7;41.7;1
28.9;85.8;356.1;27.6;34.3;1
18.1;55.9;551.4;18.8;10.6;1
18.0;76.3;459.7;34.6;43.4;1
37.2;123.4;324.2;97.1;4.4;1
43.7;84.1;556.5;97.7;22.4;1
21.3;337.0;355.6;33.2;12.0;1
34.1;210.4;509.8;96.4;26.9;1
19.0;268.9;504.6;30.0;15.0;1
42.5;23.7;551.5;85.4;36.1;1
33.6;430.6;40.6;21.2;46.8;1
38.1;85.3;350.3;82.6;35.5;1
11.7;180.1;281.0;35.4;17.8;1
30.9;36.0;294.3;19.6;30.0;1
28.5;68.4;275.9;93.5;44.4;1
20.3;332.9;502.5;21.4;13.5;1
19.2;346.3;191.1;99.2;5.9;1
30.3;338.5;277.7;10.9;6.5;1
34.7;276.1;120.4;1.0;24.7;1
11.2;476.3;151.0;87.1;36.6;1
29.9;253.6;396.3;58.7;32.9;1
16.0;224.7;70.2;42.2;22.7;1
14.9;123.8;112.7;8.2;36.5;1
31.8;49.4;316.8;57.5;31.7;1
20.9;274.1;26.3;39.4;31.4;1
25.4;157.4;76.2;48.4;10.1;1
22.6;262.0;518.0;63.0;15.6;1
32.7;103.1;507.7;64.0;17.2;1
26.5;419.1;208.7;96.1;40.4;1
43.7;499.8;208.8;65.5;38.8;1
22.3;161.2;561.9;33.9;12.6;1
35.9;421.2;15.5;33.0;2.8;1
19.0;436.5;348.2;47.7;38.4;1
27.8;498.0;358.4;25.9;20.5;1
29.3;171.4;472.7;37.6;11.0;1
21.5;378.0;571.1;84.2;5.9;1
26.5;114.4;213.5;86.0;0.6;1
19.8;312.4;262.7;62.8;21.4;1
10.2;352.4;402.8;58.3;17.0;1
17.5;370.6;580.4;42.7;34.8;1
34.5;103.6;534.5;63.6;48.8;1
37.0;424.4;400.2;80.6;10.3;1
19.8;210.5;514.0;73.8;12.2;1
24.3;108.2;51.1;3.5;16.9;1
11.3;271.3;226.3;73.1;23.3;1
18.3;431.7;7.9;72.0;34.9;1
37.3;483.5;106.5;9.9;17.6;1
31.2;374.1;378.3;15.0;5.2;1
17.2;2.8;531.3;78.8;36.5;1
19.0;67.4;379.7;55.9;39.7;1
38.6;38.1;398.5;82.2;12.4;1
17.3;50.6;62.3;18.5;6.8;0
21.7;191.5;398.9;3.1;26.4;1
33.3;169.2;272.6;16.2;10.4;1
29.6;56.8;390.9;45.3;18.7;1
26.1;441.1;195.7;52.3;38.9;1
41.5;307.7;348.9;85.8;11.0;1
17.7;398.2;254.4;71.6;40.3;1
35.9;185.8;335.2;99.0;33.7;1
15.6;205.1;88.3;7.9;11.0;1
31.6;158.8;237.5;13.0;26.3;1
40.5;219.2;224.6;8.4;30.7;1
26.0;305.2;441.8;53.8;10.0;1
35.4;246.5;423.8;26.7;7.2;1
38.7;419.0;545.3;68.4;26.6;1
14.8;450.1;379.2;13.3;34.7;1
34.7;234.8;188.7;10.3;23.3;1
42.2;119.9;469.9;46.0;3.5;1
30.2;472.6;298.2;37.6;46.3;1
16.5;367.5;116.1;82.9;34.7;1
14.4;320.1;448.4;83.8;31.1;1
19.1;372.7;79.5;11.7;32.2;1
13.6;38.0;106.9;81.2;19.9;1
28.0;33.8;455.3;56.4;49.2;1
12.4;76.6;462.1;50.4;6.6;1
17.8;73.7;474.5;9.5;37.0;1
25.4;210.3;176.0;74.0;21.0;1
26.6;78.7;520.0;6.0;44.1;1
29.8;427.3;433.6;27.8;35.9;1
34.7;289.0;500.4;9.5;28.1;1
11.7;184.1;425.2;53.1;46.9;1
12.8;34.8;347.8;64.5;45.6;1
12.1;295.5;65.6;89.1;2.6;1
24.8;58.3;426.6;73.4;9.6;1
11.5;371.6;414.3;96.1;33.8;1
36.1;401.4;187.5;76.1;46.1;1
17.8;272.0;441.5;29.8;21.5;1
42.9;74.8;330.3;54.8;1.9;1
27.0;393.4;335.6;45.8;32.2;1
25.6;153.9;220.6;56.6;9.7;1
37.3;111.3;70.1;57.2;27.6;1
35.0;235.3;130.2;70.2;19.2;1
31.3;461.3;461.3;8.3;27.9;1
42.7;148.7;162.9;74.7;46.6;1
24.8;452.8;1.4;14.4;24.3;1
38.3;26.8;598.2;2.6;1.7;1
23.3;41.8;126.4;51.9;29.0;1
39.3;349.3;393.2;58.1;16.3;1
19.1;95.3;556.2;3.5;38.9;1
20.1;158.3;359.8;51.5;23.5;1
33.7;68.2;479.4;53.5;37.1;1
17.4;166.1;585.8;5.2;45.4;1
18.0;140.2;516.2;71.2;18.1;1
20.7;368.2;334.7;21.0;49.5;1
33.8;351.0;218.2;79.4;7.5;1
41.1;477.5;289.5;31.1;32.2;1
33.6;362.2;505.1;47.8;1.7;1
39.0;347.4;512.0;89.2;10.7;1
29.0;347.1;507.5;80.6;31.7;1
12.4;441.5;358.3;78.2;2.3;1
13.5;148.1;286.2;16.0;5.1;1
29.4;150.0;186.8;4.8;14.6;1
21.5;370.6;2.0;60.6;28.8;1
17.7;114.4;458.7;41.1;0.8;1
26.3;456.0;166.2;90.9;24.1;1
33.3;267.4;197.8;35.0;31.3;1
23.5;150.1;506.1;41.1;20.1;1
38.1;388.0;31.4;52.6;3.4;1
35.8;156.2;556.6;79.6;30.5;1
35.7;481.6;0.8;26.8;30.3;1
44.5;491.5;563.5;94.2;25.3;1
20.3;333.4;272.9;54.0;34.7;1
32.6;56.8;61.3;84.1;10.4;1
39.9;131.6;404.5;52.6;33.9;1
30.3;257.7;537.5;77.2;8.1;1
37.6;425.7;262.8;5.1;19.6;1
24.5;92.4;414.8;79.9;3.4;1
30.7;52.2;587.6;52.4;41.0;1
11.9;37.2;144.4;44.9;26.9;1
44.5;253.5;492.3;11.2;48.6;1
38.0;442.4;177.1;74.2;47.1;1
40.4;21.2;255.8;13.1;49.9;1
34.3;106.2;169.1;19.2;5.1;1
16.5;346.6;267.6;12.6;30.3;1
11.1;412.9;3.1;0.7;20.4;1
40.3;403.7;182.1;66.2;26.6;1
23.9;392.5;267.2;27.1;15.4;1
19.2;64.9;379.3;14.9;2.4;1
29.7;198.6;382.4;32.0;35.4;1
24.7;492.4;350.3;49.9;48.3;1
32.8;494.4;175.8;50.3;26.6;1
26.9;301.2;568.4;36.7;16.5;1
34.4;354.6;235.2;49.5;46.9;1
39.9;475.6;130.1;42.7;18.2;1
16.8;225.0;332.7;82.3;45.7;1
21.5;68.4;449.4;3.0;42.8;1
25.3;334.5;7.3;86.8;26.4;1
43.7;480.1;165.8;24.4;33.8;1
22.8;348.6;495.0;72.2;35.0;1
23.3;401.7;304.2;40.5;32.1;1
32.9;211.4;245.1;29.4;8.0;1
24.7;48.2;558.5;61.5;34.6;1
43.3;84.4;53.7;76.9;0.2;1
41.3;491.3;369.3;45.0;35.5;1
28.0;246.6;205.3;46.7;27.7;1
32.6;6.0;42.5;5.9;13.0;1
12.0;477.7;128.2;92.4;40.2;1
34.4;248.9;376.8;84.7;20.3;1
34.8;418.1;17.0;39.8;24.3;1
22.6;274.2;355.3;76.5;1.4;1
17.7;50.9;574.1;31.3;20.1;1
42.0;307.8;477.1;73.0;8.4;1
24.9;498.7;207.4;51.7;13.8;1
32.9;17.4;82.9;46.1;12.6;1
11.2;420.9;279.0;5.7;2.3;1
24.5;117.7;235.8;96.5;23.0;1
38.6;196.9;583.0;83.7;26.1;1
23.6;186.4;593.9;79.3;28.6;1
31.1;449.4;246.4;30.5;23.1;1
17.3;252.2;89.3;29.0;43.5;1
24.6;223.6;546.4;57.3;1.9;1
42.5;409.0;476.1;84.6;30.7;1
29.8;24.5;306.8;93.5;43.3;1
41.6;43.2;219.2;26.9;2.1;1
41.6;10.8;268.9;60.7;24.8;1
43.0;344.0;541.1;72.4;29.5;1
41.3;262.8;110.8;22.6;9.5;1
10.1;438.0;484.1;40.7;12.6;1
42.7;249.3;10.9;18.7;39.3;1
14.8;110.9;552.3;69.9;28.4;1
11.4;402.6;300.2;86.4;15.8;1
11.9;147.2;136.0;87.8;38.2;1
22.2;467.8;1.7;67.0;37.3;1
31.7;125.2;335.7;34.7;17.3;1
24.1;83.9;146.7;66.1;24.4;1
10.9;246.7;378.8;86.4;33.2;1
26.7;25.3;168.7;62.6;17.2;1
25.5;18.2;52.8;41.3;31.5;1
36.5;248.0;303.0;92.0;12.6;1
19.8;107.6;338.7;83.5;14.6;1
17.6;4.7;271.6;88.2;15.5;1
19.0;148.0;274.8;90.3;46.8;1
20.6;238.7;353.8;39.4;41.7;1
31.0;197.1;315.8;86.0;28.3;1
26.5;67.7;79.5;57.0;28.2;1
21.8;289.8;118.3;3.8;2.8;1
23.1;355.2;85.1;63.6;32.5;1
23.0;337.8;416.0;47.1;16.4;1
44.0;196.9;317.2;27.5;30.6;1
18.2;68.8;257.9;97.0;42.0;1
38.6;249.7;479.0;5.5;2.3;1
34.8;445.2;195.5;94.6;30.4;1
10.2;234.4;340.9;15.9;28.2;1
44.8;97.8;44.6;37.7;10.3;1
36.5;46.5;446.6;41.7;32.3;1
33.9;472.0;417.1;73.1;27.7;1
24.2;371.5;481.4;21.6;38.4;1
29.4;156.5;530.7;98.6;5.5;1
18.9;147.7;454.8;74.9;22.2;1
11.2;447.6;506.7;79.0;49.9;1
39.3;88.8;207.4;10.6;34.5;1
41.4;267.5;206.0;47.6;34.2;1
15.7;356.8;566.6;94.6;15.9;1
37.5;198.2;548.7;27.0;4.7;1
35.9;20.0;329.1;14.5;47.5;1
16.2;113.9;219.9;48.5;5.3;1
24.8;450.9;519.6;93.0;49.6;1
24.8;261.6;194.0;48.7;6.3;1
36.6;407.7;92.2;40.5;8.5;1
39.3;277.8;383.7;65.0;15.4;1
13.3;471.8;25.6;93.7;25.6;1
29.7;454.6;227.5;4.9;39.5;1
36.7;241.4;484.6;15.3;48.6;1
37.5;159.1;177.1;13.3;17.9;1
15.2;300.8;558.8;8.5;1.0;1
28.4;337.4;573.5;30.2;30.8;1
40.0;249.2;489.5;22.9;35.5;1
21.1;411.1;592.6;54.9;19.9;1
24.9;91.7;318.5;32.7;9.2;1
38.2;167.2;341.5;40.5;15.3;1
13.1;343.2;501.7;94.2;32.8;1
40.1;123.3;295.7;15.6;24.7;1
20.9;219.9;244.0;38.8;37.2;1
10.1;481.9;368.9;25.7;10.9;1
18.2;312.9;394.6;54.9;42.1;1
13.1;474.5;450.5;73.6;7.8;1
13.2;361.2;400.9;81.7;16.5;1
34.2;362.3;447.4;51.5;29.6;1
17.5;295.9;404.7;85.5;36.8;1
42.7;71.1;288.3;78.5;13.3;1
28.1;259.9;81.0;15.7;47.4;1
26.1;126.3;471.3;24.5;35.3;1
25.2;499.3;18.5;67.2;10.9;1
34.2;133.5;595.5;97.5;36.3;1
25.8;115.3;497.1;37.6;34.8;1
14.5;311.9;402.5;23.0;37.6;1
40.8;255.5;580.0;86.9;45.8;1
25.0;10.7;367.5;20.0;35.6;1
12.6;64.8;33.9;69.7;17.6;1
28.5;405.5;335.6;3.4;39.5;1
32.7;241.8;166.3;1.9;34.8;1
19.6;73.0;221.7;45.2;28.7;1
38.0;232.6;275.8;65.7;17.7;1
33.4;126.6;464.8;14.2;46.1;1
32.8;111.8;301.8;76.4;25.6;1
24.7;478.9;284.8;12.9;31.4;1
43.7;181.0;181.2;53.4;20.8;1
19.6;23.2;323.9;30.8;39.0;1
30.2;485.2;149.0;75.2;17.1;1
20.8;397.4;156.6;80.4;40.5;1
36.1;127.2;454.4;6.6;5.4;1
11.7;204.4;205.5;19.3;35.4;1
11.6;431.1;30.8;89.3;23.8;1
38.4;178.7;206.2;41.6;34.9;1
25.2;283.7;383.1;47.7;26.6;1
21.9;267.4;488.4;16.8;6.7;1
31.3;200.6;577.2;99.5;23.8;1
34.6;319.8;447.7;92.3;48.2;1
17.0;236.6;257.3;0.2;37.7;1
16.5;10.6;179.5;55.1;15.0;1
43.5;407.2;77.8;87.2;47.2;1
30.6;56.6;376.6;43.1;38.9;1
23.7;232.0;305.9;43.7;18.2;1
38.1;290.0;406.6;37.9;30.2;1
28.4;352.8;142.3;2.9;21.3;1
18.5;205.4;194.2;79.0;4.8;1
17.2;367.8;175.3;45.7;40.3;1
23.9;65.7;478.6;53.1;9.6;1
40.1;326.7;102.7;25.6;22.9;1
12.2;413.2;365.1;78.4;35.1;1
17.6;444.7;30.8;79.4;46.6;1
41.3;289.8;329.7;55.3;3.1;1
14.3;156.4;38.3;90.5;19.7;1
32.0;81.7;105.5;11.6;30.7;1
17.5;172.8;67.8;78.7;39.0;1
31.2;270.0;208.0;55.9;46.0;1
23.4;98.2;206.2;23.1;0.0;1
13.6;476.3;495.9;13.2;31.4;1
30.4;448.6;135.4;30.1;0.3;1
33.9;16.5;51.8;85.6;39.4;1
33.8;281.0;362.1;78.8;7.5;1
32.3;394.7;412.5;64.5;44.7;1
27.5;122.7;176.9;9.0;7.8;1
28.2;261.9;361.7;95.5;38.2;1
32.2;203.0;465.6;30.5;14.5;1
34.2;98.3;208.5;60.7;27.9;1
32.9;307.4;315.2;80.3;30.4;1
30.5;496.8;88.0;13.3;10.3;1
15.5;182.6;14.2;65.2;14.9;1
17.4;276.2;588.8;3.2;5.4;1
19.1;163.9;179.8;10.2;0.3;1
42.2;438.5;167.3;72.3;12.0;1
36.6;432.3;583.9;15.5;25.8;1
29.4;89.4;436.9;44.4;35.7;1
18.8;450.0;351.2;24.8;39.7;1
13.9;75.8;419.6;42.1;3.5;1
41.5;47.7;426.0;7.7;13.6;1
41.2;326.5;458.0;75.5;38.5;1
13.9;193.0;40.3;7.9;24.0;1
37.9;265.4;247.7;83.8;9.1;1
25.6;326.3;177.1;66.3;19.6;1
21.3;26.4;42.3;41.7;13.5;1
35.9;146.5;247.6;86.6;2.5;1
31.5;230.5;369.7;18.6;38.2;1
37.3;133.3;107.1;26.5;14.6;1
12.6;24.5;183.0;13.7;47.3;1
21.2;43.3;383.5;38.2;44.4;1
21.2;400.9;347.6;98.7;35.8;1
21.5;455.7;521.3;16.1;16.3;1
27.6;76.1;474.7;83.1;14.0;1
19.9;124.6;579.4;65.2;23.8;1
25.6;326.1;358.3;1.6;17.7;1
22.9;477.1;419.1;94.5;45.1;1
35.7;149.8;516.3;97.1;6.2;1
31.1;427.6;504.0;92.5;36.2;1
32.9;253.0;431.2;50.2;30.5;1
17.4;478.3;300.2;22.0;40.3;1
21.4;68.1;163.9;39.1;27.1;1
10.7;486.8;526.3;61.4;31.5;1
13.8;220.5;466.0;37.9;48.1;1
19.3;476.5;502.7;70.8;4.6;1
12.3;229.3;84.5;79.6;5.2;1
31.1;265.0;188.9;20.9;19.7;1
44.9;402.4;254.9;40.5;23.6;1
13.5;361.3;503.0;95.8;10.0;1
38.7;309.8;535.7;25.0;4.1;1
14.2;208.5;170.9;34.6;1.1;1
33.4;396.2;411.9;3.6;38.2;1
32.5;474.1;46.7;33.2;24.3;1
41.6;4.9;245.7;37.1;42.2;1
14.0;293.9;292.0;10.0;18.0;1
21.0;433.0;459.4;0.1;35.2;1
13.2;326.6;535.2;57.5;24.4;1
24.3;400.4;202.4;30.2;30.6;1
41.9;447.5;316.6;1.8;18.5;1
37.4;375.5;388.5;86.0;4.1;1
35.3;358.5;197.2;58.4;47.4;1
28.7;482.4;591.3;17.1;41.8;1
40.9;431.8;525.5;86.5;15.6;1
25.7;407.7;177.8;25.4;47.9;1
15.2;43.2;304.8;22.7;15.0;1
39.3;119.5;138.5;89.5;22.1;1
19.8;278.4;308.7;17.9;37.8;1
11.9;354.8;410.0;87.9;15.5;1
14.4;151.6;51.3;80.3;16.2;1
31.3;46.7;522.1;31.0;20.5;1
31.2;155.5;356.2;3.4;23.4;1
19.1;385.5;593.8;8.3;6.2;1
35.5;438.7;15.4;11.0;0.9;1
37.1;456.5;498.9;89.1;46.0;1
42.2;189.4;475.2;40.4;17.7;1
30.5;186.3;79.7;3.3;5.1;1
37.3;203.4;201.2;55.7;38.0;1
36.4;187.9;530.9;20.8;14.8;1
19.0;333.1;311.1;23.5;9.1;1
20.9;179.2;240.8;16.1;48.1;1
26.7;10.2;543.3;76.2;46.0;1
10.7;219.5;56.0;0.1;5.3;1
20.4;112.1;283.9;43.9;45.0;1
26.6;14.4;391.4;8.7;44.5;1
13.8;235.4;365.1;55.2;31.7;1
14.4;103.0;158.6;34.6;26.5;1
26.2;226.4;338.0;2.8;10.9;1
35.6;138.9;425.1;46.1;6.1;1
39.2;301.9;350.9;57.1;30.3;1
29.1;495.4;410.7;24.8;41.1;1
26.6;273.6;153.6;76.6;34.4;1
23.4;323.4;499.7;37.1;9.0;1
16.8;459.6;269.8;74.9;14.5;1
15.1;187.0;592.3;57.9;27.3;1
37.7;83.3;14.0;86.9;31.2;1
26.3;141.4;228.2;54.7;3.6;1
37.7;201.4;108.3;18.6;30.7;1
34.6;322.5;333.4;82.3;36.8;1
16.8;2.3;145.9;78.3;9.1;1
27.9;426.7;442.5;97.2;12.3;1
25.5;38.0;529.1;9.4;12.9;1
24.8;450.3;126.5;59.1;47.0;1
